2021-09-24 16:42:28.498  INFO 5411 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$265a4187] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:48.132  INFO 6720 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$8ede6b08] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-24 16:43:55.552  INFO 6720 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2021-09-24 16:43:55.580  INFO 6720 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2021-09-24 16:43:55.580  INFO 6720 --- [main] com.netflix.discovery.DiscoveryClient    : Client configured to neither register nor query for data.
2021-09-24 16:43:55.587  INFO 6720 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1632465835586 with initial instances count: 0
2021-09-24 16:43:55.621  INFO 6720 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initializing ...
2021-09-24 16:43:55.623  WARN 6720 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-24 16:43:55.637  INFO 6720 --- [main] c.n.e.registry.AbstractInstanceRegistry  : Finished initializing remote region registries. All known remote regions: []
2021-09-24 16:43:55.638  INFO 6720 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initialized
2021-09-24 16:43:55.647  INFO 6720 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2021-09-24 16:43:55.719  INFO 6720 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ADMIN-MGMT-SERVICE with eureka with status UP
2021-09-24 16:43:55.722  INFO 6720 --- [Thread-28] o.s.c.n.e.server.EurekaServerBootstrap   : Setting the eureka configuration..
2021-09-24 16:43:55.722  INFO 6720 --- [Thread-28] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka data center value eureka.datacenter is not set, defaulting to default
2021-09-24 16:43:55.723  INFO 6720 --- [Thread-28] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2021-09-24 16:43:55.735  INFO 6720 --- [Thread-28] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2021-09-24 16:43:55.736  INFO 6720 --- [Thread-28] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2021-09-24 16:43:55.736  INFO 6720 --- [Thread-28] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2021-09-24 16:43:55.736  INFO 6720 --- [Thread-28] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2021-09-24 16:43:55.736  INFO 6720 --- [Thread-28] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2021-09-24 16:43:55.744  INFO 6720 --- [Thread-28] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2021-09-24 16:43:55.752  INFO 6720 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 7999 (http) with context path ''
2021-09-24 16:43:55.753  INFO 6720 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 7999
2021-09-24 16:43:55.755  INFO 6720 --- [main] c.l.hubx.admin.AdminMgmtServiceApp       : Started AdminMgmtServiceApp in 9.277 seconds (JVM running for 9.779)
2021-09-24 16:43:56.099  INFO 6720 --- [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2021-09-24 16:43:56.102  INFO 6720 --- [RMI TCP Connection(1)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-24 16:43:56.102  INFO 6720 --- [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2021-09-24 16:43:56.111  INFO 6720 --- [RMI TCP Connection(1)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 9 ms
2021-09-24 16:43:56.758  INFO 6720 --- [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2021-09-24 16:44:55.741  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2021-09-24 16:45:55.742  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 57ms
2021-09-24 16:46:55.742  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1ms
2021-09-24 16:47:55.744  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-24 16:48:55.745  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-24 16:49:55.749  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 5ms
2021-09-24 16:50:55.752  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 5ms
2021-09-24 16:51:55.755  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-24 16:52:55.758  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 5ms
2021-09-24 16:53:55.557  WARN 6720 --- [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-24 16:53:55.760  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-24 16:54:55.762  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-24 16:55:55.762  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1ms
2021-09-24 16:56:55.762  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1ms
2021-09-24 16:57:55.763  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-24 16:58:55.638  INFO 6720 --- [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] c.n.e.r.PeerAwareInstanceRegistryImpl    : Current renewal threshold is : 1
2021-09-24 16:58:55.766  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-24 16:59:55.768  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-24 17:00:25.017  WARN 6720 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Retrograde clock change detected (housekeeper delta=28s114ms), soft-evicting connections from pool.
2021-09-24 17:00:55.772  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1894ms
2021-09-24 17:01:55.774  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-24 17:02:55.777  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-24 17:03:53.655  WARN 6720 --- [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-24 17:03:55.778  INFO 6720 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
