2021-09-13 14:30:02.269  INFO 74566 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$daf0134d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-13 14:30:09.562  INFO 74566 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1631507409561 with initial instances count: 0
2021-09-13 14:30:09.594  INFO 74566 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initializing ...
2021-09-13 14:30:09.595  WARN 74566 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-13 14:30:09.608  INFO 74566 --- [main] c.n.e.registry.AbstractInstanceRegistry  : Finished initializing remote region registries. All known remote regions: []
2021-09-13 14:30:09.609  INFO 74566 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initialized
2021-09-13 14:30:09.617  INFO 74566 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2021-09-13 14:30:09.695  INFO 74566 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application ADMIN-MGMT-SERVICE with eureka with status UP
2021-09-13 14:30:09.698  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Setting the eureka configuration..
2021-09-13 14:30:09.699  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka data center value eureka.datacenter is not set, defaulting to default
2021-09-13 14:30:09.700  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Eureka environment value eureka.environment is not set, defaulting to test
2021-09-13 14:30:09.718  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : isAws returned false
2021-09-13 14:30:09.718  INFO 74566 --- [Thread-27] o.s.c.n.e.server.EurekaServerBootstrap   : Initialized server context
2021-09-13 14:30:09.719  INFO 74566 --- [Thread-27] c.n.e.r.PeerAwareInstanceRegistryImpl    : Got 1 instances from neighboring DS node
2021-09-13 14:30:09.719  INFO 74566 --- [Thread-27] c.n.e.r.PeerAwareInstanceRegistryImpl    : Renew threshold is: 1
2021-09-13 14:30:09.719  INFO 74566 --- [Thread-27] c.n.e.r.PeerAwareInstanceRegistryImpl    : Changing status to UP
2021-09-13 14:30:09.728  INFO 74566 --- [Thread-27] e.s.EurekaServerInitializerConfiguration : Started Eureka Server
2021-09-13 14:30:09.735  INFO 74566 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 7999 (http) with context path ''
2021-09-13 14:30:09.736  INFO 74566 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 7999
2021-09-13 14:30:09.739  INFO 74566 --- [main] c.l.hubx.admin.AdminMgmtServiceApp       : Started AdminMgmtServiceApp in 9.666 seconds (JVM running for 10.721)
2021-09-13 14:30:09.967  INFO 74566 --- [RMI TCP Connection(1)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2021-09-13 14:30:09.969  INFO 74566 --- [RMI TCP Connection(2)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-13 14:30:09.969  INFO 74566 --- [RMI TCP Connection(2)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2021-09-13 14:30:09.980  INFO 74566 --- [RMI TCP Connection(2)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 11 ms
2021-09-13 14:30:10.510  INFO 74566 --- [RMI TCP Connection(1)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2021-09-13 14:31:09.725  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2021-09-13 14:32:09.726  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2021-09-13 14:33:09.729  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1ms
2021-09-13 14:34:09.734  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-13 14:34:54.625  INFO 74566 --- [http-nio-7999-exec-2] c.n.e.registry.AbstractInstanceRegistry  : Registered instance CONNECTOR-SERVICE/192.168.31.2:7011 with status UP (replication=false)
2021-09-13 14:35:09.738  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-13 14:36:09.744  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-13 14:36:37.245  INFO 74566 --- [http-nio-7999-exec-7] c.n.e.registry.AbstractInstanceRegistry  : Registered instance ORDER-RATE-SERVICE/192.168.1.12:7010 with status UP (replication=false)
2021-09-13 14:37:09.751  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 5ms
2021-09-13 14:38:09.754  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1ms
2021-09-13 14:39:09.758  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-13 14:40:09.600  WARN 74566 --- [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-13 14:40:09.759  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 15ms
2021-09-13 14:41:09.759  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 5ms
2021-09-13 14:42:09.765  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-13 14:43:09.770  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-13 14:44:09.774  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-13 14:45:09.615  INFO 74566 --- [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] c.n.e.r.PeerAwareInstanceRegistryImpl    : Current renewal threshold is : 5
2021-09-13 14:45:09.778  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-13 14:46:09.780  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2021-09-13 14:47:09.787  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 5ms
2021-09-13 14:48:09.793  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-13 14:49:09.799  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-13 14:50:09.615  WARN 74566 --- [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-13 14:50:09.805  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-13 14:51:09.810  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-13 14:52:09.816  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-13 14:52:36.080  INFO 74566 --- [http-nio-7999-exec-2] c.n.e.registry.AbstractInstanceRegistry  : Registered instance ORDER-RATE-SERVICE/192.168.1.12:7010 with status DOWN (replication=false)
2021-09-13 14:52:39.233  INFO 74566 --- [http-nio-7999-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance ORDER-RATE-SERVICE/192.168.1.12:7010 (replication=false)
2021-09-13 14:52:52.628  INFO 74566 --- [http-nio-7999-exec-2] c.n.e.registry.AbstractInstanceRegistry  : Registered instance ORDER-RATE-SERVICE/192.168.1.12:7010 with status UP (replication=false)
2021-09-13 14:53:09.822  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 3ms
2021-09-13 14:53:11.520  INFO 74566 --- [http-nio-7999-exec-1] c.n.e.registry.AbstractInstanceRegistry  : Registered instance ORDER-RATE-SERVICE/192.168.1.12:7010 with status DOWN (replication=false)
2021-09-13 14:53:14.601  INFO 74566 --- [http-nio-7999-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance ORDER-RATE-SERVICE/192.168.1.12:7010 (replication=false)
2021-09-13 14:54:09.828  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-13 14:54:21.097  INFO 74566 --- [http-nio-7999-exec-1] c.n.e.registry.AbstractInstanceRegistry  : Registered instance ORDER-RATE-SERVICE/192.168.1.12:7010 with status UP (replication=false)
2021-09-13 14:54:29.303  INFO 74566 --- [http-nio-7999-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance ORDER-RATE-SERVICE/192.168.1.12:7010 with status DOWN (replication=false)
2021-09-13 14:54:32.411  INFO 74566 --- [http-nio-7999-exec-9] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance ORDER-RATE-SERVICE/192.168.1.12:7010 (replication=false)
2021-09-13 14:55:09.829  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 17ms
2021-09-13 14:56:09.829  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 5ms
2021-09-13 14:57:09.832  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 1ms
2021-09-13 14:58:09.837  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 2ms
2021-09-13 14:59:09.843  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-13 15:00:09.612  WARN 74566 --- [Eureka-PeerNodesUpdater] c.n.eureka.cluster.PeerEurekaNodes       : The replica size seems to be empty. Check the route 53 DNS Registry
2021-09-13 15:00:09.619  INFO 74566 --- [ReplicaAwareInstanceRegistry - RenewalThresholdUpdater] c.n.e.r.PeerAwareInstanceRegistryImpl    : Current renewal threshold is : 3
2021-09-13 15:00:09.849  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
2021-09-13 15:01:09.856  INFO 74566 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 4ms
